DATE,UPI APP,VOL(Million),VOL(Cr),Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,
31/01/2022,Airtel Payments Bank Apps,8.53,204745.00%,-,-,-,-,4.69,"2,682.32",13.22,"4,729.77",
31/01/2022,Allahabad Bank App,0.02,736.00%,-,-,-,-,-,-,0.02,7.36,
31/01/2022,Amazon Pay,73.5,672966.00%,-,-,-,-,-,-,73.5,"6,729.66",
31/01/2022,AU Small Finance Bank App,0.23,8115.00%,-,-,-,-,-,-,0.23,81.15,
31/01/2022,Axis Bank Apps,6.78,105877.00%,4047.00%,3425.00%,-,-,-,-,47.25,"1,093.02",
31/01/2022,Bajaj Finserv,0.24,1288.00%,-,-,-,-,-,-,0.24,12.88,
31/01/2022,Bank of Baroda Apps,0.71,34285.00%,-,-,-,-,-,-,0.71,342.85,
31/01/2022,Bank of India App,0.05,2023.00%,-,-,-,-,-,-,0.05,20.23,
31/01/2022,Bank of Maharashtra App,0.05,1246.00%,-,-,-,-,-,-,0.05,12.46,
31/01/2022,BHIM,25.82,851191.00%,-,-,-,-,-,-,25.82,"8,511.91",
31/01/2022,Canara Bank App,0.26,9895.00%,-,-,-,-,-,-,0.26,98.95,
31/01/2022,Central Bank of India App,0.13,4733.00%,-,-,-,-,-,-,0.13,47.33,
31/01/2022,Citi Bank App,0.09,7780.00%,-,-,-,-,-,-,0.09,77.8,
31/01/2022,City Union Bank App,0.02,492.00%,-,-,-,-,-,-,0.02,4.92,
31/01/2022,Cointab,1.21,17922.00%,-,-,-,-,-,-,1.21,179.22,
31/01/2022,Cred,10.68,1418986.00%,-,-,-,-,-,-,10.68,"14,189.86",
31/01/2022,DBS Digibank App,0.51,18679.00%,-,-,-,-,-,-,0.51,186.79,
31/01/2022,Dena Bank App,0.02,2650.00%,-,-,-,-,-,-,0.02,26.5,
31/01/2022,Deutsche Bank App,0.92,6195.00%,-,-,-,13.00%,-,-,0.92,62.08,
31/01/2022,Dhanlaxmi Bank App,0.01,295.00%,-,-,-,-,-,-,0.01,2.95,
31/01/2022,Federal Bank App,0.54,10925.00%,-,-,-,-,-,-,0.54,109.25,
31/01/2022,Fino Payments bank App,0.03,279.00%,-,-,-,-,-,-,0.03,2.79,
31/01/2022,Finshell Pay,0.07,369.00%,-,-,-,-,-,-,0.07,3.69,
31/01/2022,Google Pay,"1,584.20",29826707.00%,-,-,-,-,-,-,"1,584.20","298,267.07",
31/01/2022,HDFC Bank Apps,4.94,136689.00%,-,-,-,-,-,-,4.94,"1,366.89",
31/01/2022,HSBC Bank App,0.08,5447.00%,0.00%,9.00%,-,-,-,-,0.08,54.57,
31/01/2022,ICICI Bank Apps,29.87,849118.00%,357.00%,21587.00%,-,-,-,-,33.43,"8,707.05",
31/01/2022,IDBI Bank App,0.02,1254.00%,-,-,-,-,-,-,0.02,12.54,
31/01/2022,IDFC Bank App,1.22,31637.00%,-,-,-,-,-,-,1.22,316.37,
31/01/2022,India Post Payments Bank App,2.65,30942.00%,-,-,-,-,-,-,2.65,309.42,
31/01/2022,Indian Bank App,0.13,4742.00%,-,-,-,-,-,-,0.13,47.42,
31/01/2022,IndusInd Bank App,0.74,121879.00%,-,-,-,-,-,-,0.74,"1,218.79",
